BunkID,ResidenceID,Bunk#,TopBottom,# on Top,Length,FTT,Single?,Bunk Ladder?,Room Type,Notes,Bed Frame,Mattress,Protector?
71301,713 Agate,1,Bottom,12,Regular,Yes,0,1,Triple room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71302,713 Agate,2,Bottom,13,Regular,Yes,0,1,Triple room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71303,713 Agate,3,Bottom,14,Regular,Yes,0,1,Triple room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71304,713 Agate,4,Bottom,15,Regular,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71305,713 Agate,5,Bottom,16,Long,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71306,713 Agate,6,Bottom,17,Regular,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71307,713 Agate,7,Bottom,18,Regular,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71308,713 Agate,8,Bottom,19,Regular,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71309,713 Agate,9,Bottom,20,Regular,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71310,713 Agate,10,Bottom,21,Regular,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71311,713 Agate,11,Bottom,22,Regular,Yes,0,1,Double room,,Wood (Light Vintage),Custom Comfort Quilt Plush,1
71312,713 Agate,12,Top,1,,Yes,0,0,,,,Foam,0
71313,713 Agate,13,Top,2,,Yes,0,0,,,,Foam,0
71314,713 Agate,14,Top,3,,Yes,0,0,,,,Foam,0
71315,713 Agate,15,Top,4,,Yes,0,0,,,,Foam,0
71316,713 Agate,16,Top,5,,Yes,0,0,,,,Foam,0
71317,713 Agate,17,Top,6,,Yes,0,0,,,,Foam,0
71318,713 Agate,18,Top,7,,Yes,0,0,,,,Foam,0
71319,713 Agate,19,Top,8,,Yes,0,0,,,,Foam,0
71320,713 Agate,20,Top,9,,Yes,0,0,,,,Foam,0
71321,713 Agate,21,Top,10,,Yes,0,0,,,,Foam,0
71322,713 Agate,22,Top,11,,Yes,0,0,,,,Foam,0
90501,905 Neptune,1,Bottom,13,Long,Yes,0,0,Double room,,Metal,Foam,0
90502,905 Neptune,2,Bottom,14,Regular,Yes,0,0,Double room,,Metal,Foam,0
90503,905 Neptune,3,Bottom,15,Regular,Yes,0,0,Double room,,Metal,Foam,0
90504,905 Neptune,4,Bottom,16,Regular,Yes,0,0,Double room,,Metal,Foam,0
90505,905 Neptune,5,Bottom,17,Regular,Yes,0,0,Double room,,Metal,Tatami,0
90506,905 Neptune,6,Bottom,18,Regular,Yes,0,0,Double room,,Metal,Foam,0
90507,905 Neptune,7,Bottom,19,Regular,Yes,1,0,Single room,,Metal,Foam,0
90508,905 Neptune,8,Bottom,20,Regular,Yes,1,0,Single room,,Metal,Vintage Spinal Support Supreme,0
90509,905 Neptune,9,Bottom,21,Regular,Yes,0,0,Double room,,Metal,Foam,0
90510,905 Neptune,10,Bottom,22,Regular,Yes,0,0,Double room,,Metal,Foam,0
90511,905 Neptune,11,Bottom,23,Regular,Yes,1,0,Double room,,Cot Irregular,Custom Comfort Quilt 2,0
90512,905 Neptune,12,Bottom,24,Regular,Yes,1,0,Double room,,Cot Irregular,Custom Comfort Quilt 2,0
90513,905 Neptune,13,Top,1,,Yes,0,0,,,,Foam,0
90514,905 Neptune,14,Top,2,,Yes,0,0,,,,Foam,0
90515,905 Neptune,15,Top,3,,Yes,0,0,,,,Foam,0
90516,905 Neptune,16,Top,4,,Yes,0,0,,,,Foam,0
90517,905 Neptune,17,Top,5,,Yes,0,0,,,,Foam,0
90518,905 Neptune,18,Top,6,,Yes,0,0,,,,Foam,0
90519,905 Neptune,19,Top,7,,No,0,0,,,,n/a,0
90520,905 Neptune,20,Top,8,,No,0,0,,,,n/a,0
90521,905 Neptune,21,Top,9,,Yes,0,0,,,,Foam,0
90522,905 Neptune,22,Top,10,,Yes,0,0,,,,Foam,0
90523,905 Neptune,23,Top,11,,No,0,0,,,,n/a,0
90524,905 Neptune,24,Top,12,,No,0,0,,,,n/a,0
124001,1240 Nutwood,1,Bottom,10,Regular,Yes,1,0,Double room,,Wood (Irregular),Leader Orthopedic,0
124002,1240 Nutwood,2,Bottom,11,Regular,Yes,1,0,Double room,,Wood (Irregular),Custom Comfort Quilt 3,0
124003,1240 Nutwood,3,Bottom,12,Regular,Yes,0,0,Double room,,Metal,Foam,0
124004,1240 Nutwood,4,Bottom,13,Regular,Yes,0,0,Double room,,Metal,Foam,0
124005,1240 Nutwood,5,Bottom,14,Regular,Yes,0,0,Double room,,Metal,Foam,0
124006,1240 Nutwood,6,Bottom,15,Regular,Yes,0,0,Double room,,Metal,Foam,0
124007,1240 Nutwood,7,Bottom,16,Regular,Yes,0,0,Triple room,,Metal,Foam,0
124008,1240 Nutwood,8,Bottom,17,Regular,Yes,0,0,Triple room,,Metal,Foam,0
124009,1240 Nutwood,9,Bottom,18,Regular,Yes,0,0,Triple room,,Metal,Foam,0
124010,1240 Nutwood,10,Top,1,,No,0,0,,,,n/a,0
124011,1240 Nutwood,11,Top,2,,No,0,0,,,,n/a,0
124012,1240 Nutwood,12,Top,3,,Yes,0,0,,,,Foam,0
124013,1240 Nutwood,13,Top,4,,Yes,0,0,,,,Foam,0
124014,1240 Nutwood,14,Top,5,,Yes,0,0,,,,Foam,0
124015,1240 Nutwood,15,Top,6,,Yes,0,0,,,,Foam,0
124016,1240 Nutwood,16,Top,7,,Yes,0,0,,,,Foam,0
124017,1240 Nutwood,17,Top,8,,Yes,0,0,,,,Foam,0
124018,1240 Nutwood,18,Top,9,,Yes,0,0,,,,Foam,0
132101,1321 Amberwick,1,Bottom,10,Regular,Yes,0,0,Double room,,Metal,Foam,0
132102,1321 Amberwick,2,Bottom,11,Regular,Yes,0,0,Double room,,Metal,Foam,0
132103,1321 Amberwick,3,Bottom,12,Regular,Yes,1,0,Triple room,,Cot,Leader Orthopedic,0
132104,1321 Amberwick,4,Bottom,13,Regular,Yes,0,0,Triple room,,Metal,Foam,0
132105,1321 Amberwick,5,Bottom,14,Regular,Yes,0,0,Triple room,,Metal,Foam,0
